Favorite,Activity Name,Course,Start,Time,Distance,Elevation Gain,Avg Speed(Avg Pace),Max Speed(Best Pace),Avg HR,Max HR,Calories,Avg SWOLF,Best SWOLF,Best Efficiency,Training Effect
false,Untitled,--,"Fri, 8 Feb 2013 9:20",1:07:41,8.20,624,8:15,5:05,--,--,"1,146",--,--,--,--,
false,Untitled,--,"Wed, 6 Feb 2013 11:57",1:36:39,11.05,640,8:42,4:24,--,--,"1,561",--,--,--,--,
false,Untitled,--,"Mon, 4 Feb 2013 18:19",56:20,7.12,389,7:55,5:50,--,--,976,--,--,--,--,
false,Untitled,--,"Fri, 1 Feb 2013 15:37",1:19:31,9.53,518,8:21,2:37,--,--,"1,319",--,--,--,--,
false,Untitled,--,"Wed, 30 Jan 2013 16:36",1:08:54,8.36,381,8:14,3:49,--,--,"1,151",--,--,--,--,
false,Untitled,--,"Mon, 28 Jan 2013 8:54",1:29:48,10.27,604,8:45,6:28,--,--,"1,418",--,--,--,--,
false,Untitled,--,"Sun, 27 Jan 2013 13:11",37:23,4.25,356,8:48,7:01,--,--,593,--,--,--,--,
false,Untitled,--,"Fri, 25 Jan 2013 8:34",1:18:01,9.07,546,8:36,1:43,--,--,"1,249",--,--,--,--,
false,Super Snowy Seven Miler II,--,"Wed, 23 Jan 2013 11:09",1:00:30,7.04,459,8:36,6:19,--,--,974,--,--,--,--,
false,Super snowy seven miler,--,"Mon, 21 Jan 2013 13:57",1:04:03,7.11,399,9:01,6:56,--,--,975,--,--,--,--,
false,Untitled,--,"Sat, 19 Jan 2013 15:29",52:20,6.18,296,8:28,2:04,--,--,854,--,--,--,--,
false,Untitled,--,"Wed, 16 Jan 2013 10:58",1:52:53,13.17,711,8:34,1:45,--,--,"1,822",--,--,--,--,
false,Untitled,--,"Mon, 14 Jan 2013 9:22",1:17:17,9.08,545,8:31,2:16,--,--,"1,255",--,--,--,--,
false,Untitled,--,"Fri, 11 Jan 2013 9:03",57:46,7.10,378,8:08,6:05,--,--,981,--,--,--,--,
false,Untitled,--,"Wed, 9 Jan 2013 18:17",1:06:16,8.01,363,8:16,6:33,--,--,"1,114",--,--,--,--,
false,Untitled,--,"Mon, 7 Jan 2013 15:05",1:27:11,10.26,615,8:30,5:05,--,--,"1,432",--,--,--,--,
false,Untitled,--,"Sat, 5 Jan 2013 11:48",1:16:23,9.02,248,8:28,6:01,--,--,"1,256",--,--,--,--,
false,Untitled,--,"Wed, 2 Jan 2013 18:17",1:16:59,9.01,408,8:33,6:43,--,--,"1,252",--,--,--,--,
